igre,disciplina,mesto,drzava,ime,rezultat
Chamonix 1924,1500m-men,11,CAN,Charlie Gorman,00:02:35.400
Chamonix 1924,1500m-men,12,USA,William E. Steinmetz,00:02:36.000
Chamonix 1924,1500m-men,13,SWE,Axel Blomqvist,00:02:36.400
Chamonix 1924,1500m-men,14,FRA,Léon Quaglia,00:02:37.000
Chamonix 1924,1500m-men,15,POL,Leon Jucewicz,00:02:42.600
Chamonix 1924,1500m-men,16,FRA,André Gegout,00:02:54.400
Chamonix 1924,1500m-men,17,BEL,Gaston Van Hazebroeck,00:02:54.800
Chamonix 1924,1500m-men,18,FRA,Georges Frédéric De Wilde,00:02:55.000
Chamonix 1924,1500m-men,19,BEL,Louis De Ridder,00:03:01.800
Chamonix 1924,1500m-men,20,BEL,Philippe Van Volckxsom,00:03:14.600
Chamonix 1924,1500m-men,21,BEL,Marcel T. Moens,00:03:16.800
Chamonix 1924,5000m-men,1,FIN,Clas Thunberg,00:08:39.000
Chamonix 1924,5000m-men,2,FIN,Julius Skutnabb,00:08:48.400
Chamonix 1924,5000m-men,3,NOR,Roald Larsen,00:08:50.200
Chamonix 1924,5000m-men,4,NOR,Sigurd Moen,00:08:51.000
Chamonix 1924,5000m-men,5,NOR,Harald Ström,00:08:54.600
Chamonix 1924,5000m-men,6,USA,Valentine Bialas,00:08:55.000
Chamonix 1924,5000m-men,7,NOR,Frithjof Paulsen,00:08:59.000
Chamonix 1924,5000m-men,8,USA,Richard E. Donovan,00:09:05.600
Chamonix 1924,5000m-men,9,FRA,Léon Quaglia,00:09:08.600
Chamonix 1924,5000m-men,10,FIN,Asser Wallenius,00:09:12.800
Chamonix 1924,5000m-men,11,LAT,Alberts Rumba,00:09:14.400
Chamonix 1924,5000m-men,12,SWE,Erik Blomgren,00:09:14.600
Chamonix 1924,5000m-men,13,USA,Charles Jewtraw,00:09:27.000
Chamonix 1924,5000m-men,14,USA,William E. Steinmetz,00:09:35.000
Chamonix 1924,5000m-men,15,SWE,Axel Blomqvist,00:09:48.800
Chamonix 1924,5000m-men,16,POL,Leon Jucewicz,00:10:05.600
Chamonix 1924,5000m-men,17,BEL,Gaston Van Hazebroeck,00:10:13.800
Chamonix 1924,5000m-men,18,FRA,André Gegout,00:10:15.200
Chamonix 1924,5000m-men,19,FRA,Georges Frédéric De Wilde,00:10:39.800
Chamonix 1924,5000m-men,20,GBR,Albert Tebbit,00:11:01.000
Chamonix 1924,5000m-men,21,BEL,Marcel T. Moens,00:11:30.400
Chamonix 1924,10000m-men,1,FIN,Julius Skutnabb,00:18:04.800
Chamonix 1924,10000m-men,2,FIN,Clas Thunberg,00:18:07.800
Chamonix 1924,10000m-men,3,NOR,Roald Larsen,00:18:12.200
Chamonix 1924,10000m-men,4,NOR,Frithjof Paulsen,00:18:13.000
Chamonix 1924,10000m-men,5,NOR,Harald Ström,00:18:18.600
Chamonix 1924,10000m-men,6,NOR,Sigurd Moen,00:18:19.000
Chamonix 1924,10000m-men,7,FRA,Léon Quaglia,00:18:25.000
Chamonix 1924,10000m-men,8,USA,Valentine Bialas,00:18:34.000
Chamonix 1924,10000m-men,9,USA,Richard E. Donovan,00:18:57.000
Chamonix 1924,10000m-men,10,FIN,Asser Wallenius,00:19:03.800
Chamonix 1924,10000m-men,11,LAT,Alberts Rumba,00:19:14.600
Chamonix 1924,10000m-men,12,USA,Joe Moore,00:19:36.200
Chamonix 1924,10000m-men,13,USA,Harry F. Kaskey,00:19:45.200
Chamonix 1924,10000m-men,14,POL,Leon Jucewicz,00:20:40.800
Chamonix 1924,10000m-men,15,FRA,André Gegout,00:21:03.400
St Moritz 1928,500m-men,1,NOR,Bernt Evensen,43.400
St Moritz 1928,500m-men,1,FIN,Clas Thunberg,43.400
St Moritz 1928,500m-men,3,USA,John O Farrell,43.600
St Moritz 1928,500m-men,3,FIN,Jaakko Friman,43.600
St Moritz 1928,500m-men,3,NOR,Roald Larsen,43.600
St Moritz 1928,500m-men,6,NOR,Haakon Pedersen,43.800
St Moritz 1928,500m-men,7,CAN,Charlie Gorman,43.900
St Moritz 1928,500m-men,8,FIN,Bertel Backmann,44.400
St Moritz 1928,500m-men,9,NOR,Oskar Olsen,44.700
St Moritz 1928,500m-men,10,USA,Edward Murphy,44.900
St Moritz 1928,500m-men,11,USA,Irving Jaffee,45.200
St Moritz 1928,500m-men,11,CAN,William F. Logan,45.200
St Moritz 1928,500m-men,11,FIN,Toivo Ovaska,45.200
St Moritz 1928,500m-men,14,CAN,Ross Robinson,45.900
St Moritz 1928,500m-men,15,EST,Christfried Burmeister,46.200
St Moritz 1928,500m-men,16,LAT,Alberts Rumba,46.300
St Moritz 1928,500m-men,17,USA,Valentine Bialas,46.500
St Moritz 1928,500m-men,18,AUT,Fritz Moser,46.700
St Moritz 1928,500m-men,19,HUN,Zoltan Eötvös,46.800
